ID,Groups,Description,Baseline [02-12 23:05],[02-19 14:48],[06-05 10:51]
TRV-PROJ-2,Basic Project Traversal,Non-recursive scan only finds top-level projects [2026-06-30],--/OK,--/OK,X/OK
BB-RUN-39,ToolRunner --nested mode,--nested takes priority over wiring (no lazy wire) [2026-02-22],--/OK,--/OK,X/OK
BB-RUN-37,ToolRunner --nested mode,--nested single-command tool runs default executor [2026-02-22],--/OK,--/OK,X/OK
BB-RUN-36,ToolRunner --nested mode,--nested runs only first command in multi-command [2026-02-22],--/OK,--/OK,X/OK
BB-RUN-35,ToolRunner --nested mode,--nested uses default command when available [2026-02-22],--/OK,--/OK,X/OK
BB-RUN-29,ToolRunner --nested mode,--nested routes command to executeWithoutTraversal [2026-02-22],--/OK,--/OK,X/OK
,,(setUpAll),--/OK,--/OK,X/OK
,MacroExpander > BB-MAC-09: multiple macros in args,expands multiple macros in sequence,--/OK,OK/OK,OK/OK
BB-RUN-3,ItemResult > success factory,Creates success result [2026-02-12],OK/OK,OK/OK,OK/OK
BB-CMP-3,CompletionGenerator.generateBash,Includes completion function [2026-02-12],OK/OK,OK/OK,OK/OK
BB-HLP-3,HelpGenerator > generateToolHelp,Includes usage for multi-command tool [2026-02-12],OK/OK,OK/OK,OK/OK
BB-CMD-3,CommandDefinition > constructor,Creates command with all fields [2026-02-12],OK/OK,OK/OK,OK/OK
BB-RUN-4,ItemResult > failure factory,Creates failure result [2026-02-12],OK/OK,OK/OK,OK/OK
BB-CMP-4,CompletionGenerator.generateBash,Includes commands [2026-02-12],OK/OK,OK/OK,OK/OK
BB-RUN-5,ToolResult > constructor,Creates result with defaults [2026-02-12],OK/OK,OK/OK,OK/OK
BB-CMD-4,CommandDefinition > allOptions,Returns only command options when no traversal support [2026-02-12],OK/OK,OK/OK,OK/OK
BB-HLP-4,HelpGenerator > generateToolHelp,Includes usage for single-command tool [2026-02-12],OK/OK,OK/OK,OK/OK
BB-CMP-5,CompletionGenerator.generateBash,Includes command aliases [2026-02-12],OK/OK,OK/OK,OK/OK
